zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
98664,0,0,17,0.0,5.478612503261776,23845.0
94159,3,3,129,0.023255813953488372,,
92048,0,0,4,0.0,,
93625,190,190,7012,0.027096406160867084,23.97475679881058,8778.0
95133,2050,2065,22573,0.09081646214504054,3.2613538649310962,29710.0
96326,0,0,3,0.0,,
92659,21,24,569,0.03690685413005272,,
94941,3912,3928,23520,0.1663265306122449,39.06287795598456,32706.0
95932,47,47,6840,0.006871345029239766,144.53460160140352,7701.0
91914,1425,1426,14423,0.09880052693614366,6.6440820940420595,16877.0
92361,0,0,0,,,
91734,5,6,830,0.006024096385542169,,
90052,0,0,5,0.0,0.13964497932809739,0.0
94662,14,14,295,0.04745762711864407,,
98686,0,0,20,0.0,11.657565009659812,21243.0
92268,18,18,491,0.03665987780040733,69.68281811806666,434.0
93258,10,10,2429,0.004116920543433511,0.9752975485559005,1398.0
99228,0,0,2,0.0,,
94128,10,10,506,0.019762845849802372,3.3542423044636376,0.0
92097,0,0,1,0.0,,
90676,0,0,0,,,
90309,2,2,82,0.024390243902439025,,
99326,0,0,2,0.0,244.03096043836825,6336.0
93055,0,0,1,0.0,,
96020,11,11,2716,0.004050073637702504,56.796237979334315,2222.0
95936,4,4,554,0.007220216606498195,43.9721047517764,144.0
98070,3,3,19,0.15789473684210525,49.75086432802555,9934.0
90825,0,0,1,0.0,,
93090,0,0,1,0.0,,
97487,0,0,4,0.0,78.12645614174264,8498.0
96303,0,0,1,0.0,,
93035,1120,1121,22288,0.05025125628140704,6.328796894061039,26853.0
92602,4945,4985,23306,0.21217712177121772,15.199168845997063,28261.0
90038,1077,1088,14942,0.07207870432338374,1.549171252282783,27127.0
90869,0,0,1,0.0,,
95973,766,766,29375,0.026076595744680853,302.11537611050585,39031.0
92783,0,0,1,0.0,,
96472,0,0,1,0.0,,
95661,1596,1603,25984,0.061422413793103446,8.954169792229758,32589.0
90645,0,0,1,0.0,,
90223,3,3,119,0.025210084033613446,,
93064,1,1,35,0.02857142857142857,6.614465569643622,0.0
92657,2164,2168,9390,0.23045793397231096,8.897582756831435,9920.0
95575,0,0,1,0.0,,
95518,24,24,932,0.02575107296137339,,
92603,3160,3183,15363,0.20568899303521448,9.986718708798758,18387.0
97527,3,3,65,0.046153846153846156,220.69759126250378,37330.0
94957,391,391,1906,0.20514165792235048,1.4203940759659606,2321.0
95370,406,406,26584,0.015272344267228408,105.27954530783042,28355.0
94507,2026,2030,13934,0.14539974163915603,11.19813625189235,14586.0
95920,4,4,204,0.0196078431372549,69.31650427691662,278.0
94984,0,0,0,,,
93358,0,0,1,0.0,,
96430,0,0,1,0.0,,
94910,0,0,1,0.0,,
96421,0,0,1,0.0,,
98203,2,2,33,0.06060606060606061,12.716169793739498,35517.0
93697,0,0,1,0.0,,
91909,4,4,405,0.009876543209876543,,
93461,16,16,1255,0.012749003984063745,295.133984314505,1548.0
92103,2375,2384,24285,0.09779699402923615,3.684773444648196,34836.0
92239,3,3,182,0.016483516483516484,517.0302185538264,144.0
